date,account,category,amount,currency,department
2024-01-01,Sales Revenue,Equity,70812.72,USD,Sales
2024-01-01,Marketing Expenses,Asset,77341.56,USD,Sales
2024-01-01,R&D Costs,Revenue,58744.68,USD,Marketing
2024-01-01,Administrative,Expense,48482.36,USD,Admin
2024-01-01,Operations,Revenue,37383.55,USD,Sales
2024-01-02,Sales Revenue,Revenue,67078.4,USD,Sales
2024-01-02,Marketing Expenses,Liability,52369.74,USD,Marketing
2024-01-02,R&D Costs,Asset,67912.11,USD,Admin
2024-01-02,Administrative,Asset,18826.04,USD,Operations
2024-01-02,Operations,Liability,38377.25,USD,Marketing
2024-01-03,Sales Revenue,Liability,111787.45,USD,Operations
2024-01-03,Marketing Expenses,Liability,74371.66,USD,Operations
2024-01-03,R&D Costs,Equity,22087.5,USD,Operations
2024-01-03,Administrative,Liability,24262.32,USD,Sales
2024-01-03,Operations,Asset,47018.04,USD,Operations
2024-01-04,Sales Revenue,Equity,132642.66,USD,Operations
2024-01-04,Marketing Expenses,Revenue,78073.4,USD,R&D
2024-01-04,R&D Costs,Expense,65349.77,USD,R&D
2024-01-04,Administrative,Revenue,46229.17,USD,Admin
2024-01-04,Operations,Liability,10174.42,USD,Sales
2024-01-05,Sales Revenue,Revenue,164187.66,USD,Operations
2024-01-05,Marketing Expenses,Liability,38823.81,USD,Admin
2024-01-05,R&D Costs,Expense,18259.27,USD,Sales
2024-01-05,Administrative,Revenue,30873.02,USD,Operations
2024-01-05,Operations,Revenue,16207.82,USD,R&D
2024-01-06,Sales Revenue,Liability,128972.05,USD,Admin
2024-01-06,Marketing Expenses,Asset,62180.77,USD,Sales
2024-01-06,R&D Costs,Asset,57463.21,USD,R&D
2024-01-06,Administrative,Revenue,44410.4,USD,Marketing
2024-01-06,Operations,Equity,4458.9,USD,Admin
2024-01-07,Sales Revenue,Equity,126277.85,USD,Sales
2024-01-07,Marketing Expenses,Equity,67190.4,USD,Sales
2024-01-07,R&D Costs,Equity,33288.26,USD,R&D
2024-01-07,Administrative,Equity,31491.68,USD,Sales
2024-01-07,Operations,Equity,6539.32,USD,R&D
2024-01-08,Sales Revenue,Revenue,77589.7,USD,Marketing
2024-01-08,Marketing Expenses,Equity,11798.7,USD,Admin
2024-01-08,R&D Costs,Equity,74548.58,USD,Marketing
2024-01-08,Administrative,Equity,46095.65,USD,Sales
2024-01-08,Operations,Liability,22781.53,USD,Sales
2024-01-09,Sales Revenue,Liability,184744.6,USD,R&D
2024-01-09,Marketing Expenses,Expense,12391.62,USD,R&D
2024-01-09,R&D Costs,Liability,33364.2,USD,Operations
2024-01-09,Administrative,Asset,42090.13,USD,Sales
2024-01-09,Operations,Revenue,33129.24,USD,Admin
2024-01-10,Sales Revenue,Expense,74196.71,USD,R&D
2024-01-10,Marketing Expenses,Expense,41637.55,USD,Admin
2024-01-10,R&D Costs,Asset,71348.79,USD,Marketing
2024-01-10,Administrative,Liability,4605.04,USD,Marketing
2024-01-10,Operations,Equity,37154.31,USD,Admin
2024-01-11,Sales Revenue,Equity,99497.96,USD,Admin
2024-01-11,Marketing Expenses,Expense,15143.02,USD,Marketing
2024-01-11,R&D Costs,Equity,30626.0,USD,Admin
2024-01-11,Administrative,Liability,7825.34,USD,Operations
2024-01-11,Operations,Liability,21319.08,USD,Admin
2024-01-12,Sales Revenue,Asset,57443.42,USD,Operations
2024-01-12,Marketing Expenses,Asset,35030.14,USD,Marketing
2024-01-12,R&D Costs,Expense,66393.69,USD,R&D
2024-01-12,Administrative,Asset,39628.9,USD,R&D
2024-01-12,Operations,Liability,46851.55,USD,Admin
2024-01-13,Sales Revenue,Equity,199686.04,USD,R&D
2024-01-13,Marketing Expenses,Asset,64397.06,USD,R&D
2024-01-13,R&D Costs,Liability,13778.46,USD,Operations
2024-01-13,Administrative,Revenue,38996.31,USD,Sales
2024-01-13,Operations,Asset,4558.98,USD,Sales
2024-01-14,Sales Revenue,Equity,124416.92,USD,Marketing
2024-01-14,Marketing Expenses,Liability,25720.52,USD,Sales
2024-01-14,R&D Costs,Revenue,47420.36,USD,Marketing
2024-01-14,Administrative,Asset,14493.37,USD,R&D
2024-01-14,Operations,Revenue,20760.82,USD,Sales
2024-01-15,Sales Revenue,Expense,157793.22,USD,R&D
2024-01-15,Marketing Expenses,Equity,47533.04,USD,Admin
2024-01-15,R&D Costs,Equity,36517.59,USD,R&D
2024-01-15,Administrative,Equity,10443.63,USD,Admin
2024-01-15,Operations,Liability,3530.28,USD,Operations
2024-01-16,Sales Revenue,Liability,50493.04,USD,R&D
2024-01-16,Marketing Expenses,Revenue,41838.34,USD,Sales
2024-01-16,R&D Costs,Equity,76110.41,USD,Operations
2024-01-16,Administrative,Revenue,24310.32,USD,Operations
2024-01-16,Operations,Liability,46266.21,USD,R&D
2024-01-17,Sales Revenue,Expense,129163.79,USD,R&D
2024-01-17,Marketing Expenses,Revenue,51245.12,USD,Sales
2024-01-17,R&D Costs,Liability,25714.16,USD,R&D
2024-01-17,Administrative,Expense,11502.91,USD,Admin
2024-01-17,Operations,Revenue,36253.0,USD,Operations
2024-01-18,Sales Revenue,Expense,190481.63,USD,Marketing
2024-01-18,Marketing Expenses,Expense,66638.17,USD,Sales
2024-01-18,R&D Costs,Equity,56739.16,USD,Marketing
2024-01-18,Administrative,Equity,3528.97,USD,R&D
2024-01-18,Operations,Revenue,37579.67,USD,Admin
2024-01-19,Sales Revenue,Equity,147401.63,USD,Admin
2024-01-19,Marketing Expenses,Revenue,23844.08,USD,Marketing
2024-01-19,R&D Costs,Revenue,77948.25,USD,Admin
2024-01-19,Administrative,Asset,39174.04,USD,Operations
2024-01-19,Operations,Asset,31306.72,USD,R&D
