order_id,customer_id,product_name,category,region,sales_rep,order_date,unit_price,quantity,discount,total_amount,status,payment_method
ORD-000001,163,Webcam,Electronics,North,Alice Johnson,2024-03-18,113.12,4,0.0,452.48,Cancelled,Credit Card
ORD-000002,15,Laptop,Electronics,North,Carol Davis,2024-03-10,1928.02,3,0.17,4800.77,Cancelled,Cash
ORD-000003,13,Headphones,Accessories,East,Bob Smith,2024-03-31,84.24,5,0.14,362.23,Completed,PayPal
ORD-000004,16,Monitor,Computing,East,Carol Davis,2024-08-11,170.1,2,0.1,306.18,Completed,PayPal
ORD-000005,187,Laptop,Computing,West,Alice Johnson,2024-02-15,1724.15,1,0.05,1637.94,Cancelled,Cash
ORD-000006,122,Webcam,Mobile,North,David Wilson,2024-08-16,75.7,2,0.08,139.29,Completed,Credit Card
ORD-000007,83,Monitor,Accessories,South,Alice Johnson,2024-10-17,175.36,2,0.07,326.17,Completed,Bank Transfer
ORD-000008,141,Tablet,Mobile,East,Bob Smith,2024-02-10,618.66,1,0.09,562.98,Cancelled,Cash
ORD-000009,140,Headphones,Accessories,South,Eva Brown,2024-11-07,32.01,5,0.07,148.85,Completed,Credit Card
ORD-000010,171,Webcam,Electronics,South,Carol Davis,2024-03-12,115.23,4,0.19,373.35,Cancelled,Cash
ORD-000011,150,Headphones,Electronics,South,Carol Davis,2024-05-28,88.58,3,0.06,249.8,Completed,Credit Card
ORD-000012,156,Monitor,Computing,Central,Alice Johnson,2024-11-09,348.99,1,0.01,345.5,Cancelled,PayPal
ORD-000013,45,Laptop,Accessories,West,Eva Brown,2024-02-03,1310.32,3,0.0,3930.96,Completed,Credit Card
ORD-000014,90,Monitor,Computing,South,Alice Johnson,2024-08-11,454.21,3,0.07,1267.25,Cancelled,Cash
ORD-000015,50,Headphones,Accessories,North,Carol Davis,2024-08-03,71.64,5,0.13,311.63,Cancelled,Bank Transfer
ORD-000016,88,Keyboard,Electronics,North,Bob Smith,2024-03-31,32.62,3,0.18,80.25,Cancelled,Credit Card
ORD-000017,167,Mouse,Electronics,East,Bob Smith,2024-04-09,21.72,4,0.14,74.72,Cancelled,Bank Transfer
ORD-000018,154,Phone,Computing,South,David Wilson,2024-09-07,903.43,1,0.14,776.95,Completed,Cash
ORD-000019,149,Headphones,Electronics,North,Eva Brown,2024-05-02,103.48,4,0.02,405.64,Completed,Cash
ORD-000020,70,Mouse,Electronics,North,Alice Johnson,2024-11-24,28.15,3,0.04,81.07,Cancelled,Bank Transfer
ORD-000021,17,Keyboard,Accessories,Central,Bob Smith,2024-06-28,69.12,3,0.13,180.4,Cancelled,Bank Transfer
ORD-000022,191,Phone,Mobile,North,Bob Smith,2024-11-20,312.81,3,0.15,797.67,Cancelled,PayPal
ORD-000023,101,Keyboard,Computing,Central,Eva Brown,2024-08-21,58.11,4,0.07,216.17,Completed,Bank Transfer
ORD-000024,21,Laptop,Mobile,North,Bob Smith,2024-01-19,1472.6,1,0.02,1443.15,Completed,Cash
ORD-000025,188,Headphones,Accessories,West,Eva Brown,2024-03-14,33.6,5,0.09,152.88,Cancelled,Cash
ORD-000026,119,Tablet,Mobile,East,Alice Johnson,2024-03-05,495.89,3,0.13,1294.27,Completed,Cash
ORD-000027,92,Phone,Mobile,East,Alice Johnson,2024-09-13,751.2,3,0.06,2118.38,Completed,PayPal
ORD-000028,66,Phone,Electronics,West,Bob Smith,2024-01-22,930.46,2,0.03,1805.09,Cancelled,Bank Transfer
ORD-000029,158,Keyboard,Mobile,South,Alice Johnson,2024-06-21,74.73,1,0.02,73.24,Cancelled,Credit Card
ORD-000030,123,Phone,Computing,Central,Eva Brown,2024-07-15,601.79,2,0.06,1131.37,Completed,Cash
ORD-000031,76,Laptop,Electronics,North,Carol Davis,2024-05-08,1835.79,4,0.12,6461.98,Cancelled,PayPal
ORD-000032,147,Phone,Electronics,Central,David Wilson,2024-02-29,922.06,1,0.16,774.53,Cancelled,Cash
ORD-000033,125,Keyboard,Electronics,South,Alice Johnson,2024-09-07,41.6,5,0.05,197.6,Completed,PayPal
ORD-000034,30,Tablet,Accessories,South,Alice Johnson,2024-07-30,533.88,2,0.0,1067.76,Completed,Cash
ORD-000035,84,Keyboard,Accessories,East,Eva Brown,2024-02-11,85.46,5,0.03,414.48,Completed,Bank Transfer
ORD-000036,85,Phone,Mobile,East,Bob Smith,2024-11-12,1184.04,5,0.06,5564.99,Cancelled,PayPal
ORD-000037,135,Headphones,Accessories,North,Alice Johnson,2024-01-20,55.93,4,0.11,199.11,Completed,Credit Card
ORD-000038,89,Phone,Computing,South,Carol Davis,2024-03-20,1161.3,3,0.17,2891.64,Cancelled,Cash
ORD-000039,44,Monitor,Mobile,West,Bob Smith,2024-02-07,329.19,5,0.17,1366.14,Cancelled,PayPal
ORD-000040,144,Phone,Computing,West,Bob Smith,2024-02-13,391.61,4,0.14,1347.14,Completed,Bank Transfer
ORD-000041,192,Tablet,Mobile,North,Carol Davis,2024-10-29,344.79,4,0.08,1268.83,Cancelled,Bank Transfer
ORD-000042,176,Tablet,Accessories,Central,Carol Davis,2024-05-03,348.58,3,0.07,972.54,Cancelled,Credit Card
ORD-000043,86,Laptop,Computing,East,Bob Smith,2024-07-27,1480.39,4,0.08,5447.84,Completed,PayPal
ORD-000044,200,Mouse,Electronics,South,Carol Davis,2024-04-19,48.72,4,0.09,177.34,Cancelled,Bank Transfer
ORD-000045,22,Laptop,Mobile,South,Eva Brown,2024-01-05,1406.71,2,0.18,2307.0,Cancelled,PayPal
ORD-000046,21,Monitor,Computing,West,Carol Davis,2024-06-10,299.57,1,0.04,287.59,Cancelled,Credit Card
ORD-000047,199,Mouse,Mobile,North,Carol Davis,2024-05-19,22.58,3,0.01,67.06,Cancelled,Cash
ORD-000048,140,Tablet,Accessories,North,Bob Smith,2024-09-11,370.04,4,0.06,1391.35,Cancelled,Bank Transfer
ORD-000049,82,Mouse,Mobile,Central,David Wilson,2024-05-22,37.89,5,0.12,166.72,Cancelled,Bank Transfer
ORD-000050,194,Laptop,Mobile,South,Carol Davis,2024-05-04,1900.86,1,0.14,1634.74,Completed,Credit Card
ORD-000051,31,Headphones,Accessories,West,David Wilson,2024-03-11,96.12,5,0.08,442.15,Cancelled,Cash
ORD-000052,78,Monitor,Electronics,South,Alice Johnson,2024-05-13,266.1,3,0.05,758.38,Cancelled,Cash
ORD-000053,46,Monitor,Accessories,Central,Eva Brown,2024-09-09,217.49,1,0.12,191.39,Completed,Bank Transfer
ORD-000054,183,Phone,Computing,Central,Alice Johnson,2024-05-05,1018.25,2,0.15,1731.02,Completed,Credit Card
ORD-000055,13,Headphones,Computing,East,David Wilson,2024-07-18,124.67,1,0.17,103.48,Completed,Credit Card
ORD-000056,3,Headphones,Electronics,West,Alice Johnson,2024-05-17,65.94,4,0.13,229.47,Cancelled,Cash
ORD-000057,71,Headphones,Accessories,West,Alice Johnson,2024-08-14,32.68,3,0.14,84.31,Completed,Credit Card
ORD-000058,77,Laptop,Computing,East,Eva Brown,2024-06-27,1927.99,4,0.17,6400.93,Completed,Bank Transfer
ORD-000059,158,Monitor,Computing,East,Bob Smith,2024-03-07,338.28,4,0.15,1150.15,Completed,Bank Transfer
ORD-000060,95,Phone,Accessories,Central,Eva Brown,2024-05-23,1086.67,2,0.15,1847.34,Completed,PayPal
ORD-000061,118,Phone,Computing,South,Bob Smith,2024-11-21,664.82,5,0.17,2759.0,Cancelled,Credit Card
ORD-000062,126,Tablet,Accessories,East,Eva Brown,2024-06-18,635.76,4,0.11,2263.31,Completed,Cash
ORD-000063,92,Laptop,Electronics,North,Eva Brown,2024-06-04,1474.84,5,0.14,6341.81,Completed,Cash
ORD-000064,18,Phone,Electronics,West,Bob Smith,2024-07-12,1030.75,3,0.08,2844.87,Cancelled,PayPal
ORD-000065,190,Monitor,Computing,South,Carol Davis,2024-02-01,345.24,4,0.06,1298.1,Completed,PayPal
ORD-000066,8,Headphones,Mobile,South,Carol Davis,2024-04-02,148.04,4,0.14,509.26,Cancelled,Cash
ORD-000067,192,Headphones,Accessories,Central,Carol Davis,2024-12-05,184.86,3,0.0,554.58,Completed,Bank Transfer
ORD-000068,200,Monitor,Electronics,East,Eva Brown,2024-04-13,364.31,4,0.13,1267.8,Cancelled,Bank Transfer
ORD-000069,187,Laptop,Accessories,North,Alice Johnson,2024-07-04,985.35,5,0.02,4828.22,Completed,Credit Card
ORD-000070,188,Webcam,Computing,Central,Bob Smith,2024-06-16,70.05,3,0.11,187.03,Cancelled,Bank Transfer
ORD-000071,173,Phone,Computing,South,Eva Brown,2024-12-22,544.54,5,0.08,2504.88,Cancelled,Credit Card
ORD-000072,76,Monitor,Mobile,South,Alice Johnson,2024-10-17,393.61,2,0.18,645.52,Completed,Credit Card
ORD-000073,194,Mouse,Accessories,South,Carol Davis,2024-01-20,33.9,3,0.06,95.6,Cancelled,Bank Transfer
ORD-000074,159,Monitor,Accessories,South,Alice Johnson,2024-09-10,341.44,1,0.12,300.47,Cancelled,Cash
ORD-000075,3,Keyboard,Electronics,South,Eva Brown,2024-07-03,49.71,4,0.19,161.06,Completed,Credit Card
ORD-000076,96,Laptop,Electronics,South,Eva Brown,2024-08-21,1026.6,4,0.08,3777.89,Cancelled,Cash
ORD-000077,162,Mouse,Computing,Central,Carol Davis,2024-04-30,27.43,1,0.02,26.88,Completed,Bank Transfer
ORD-000078,107,Keyboard,Electronics,East,Carol Davis,2024-04-09,23.71,1,0.01,23.47,Completed,Bank Transfer
ORD-000079,65,Phone,Computing,South,David Wilson,2024-06-03,661.59,4,0.05,2514.04,Cancelled,Credit Card
ORD-000080,134,Mouse,Accessories,Central,Alice Johnson,2024-02-14,22.97,2,0.01,45.48,Completed,Bank Transfer
ORD-000081,16,Webcam,Computing,South,Eva Brown,2024-05-09,96.21,3,0.17,239.56,Completed,Cash
ORD-000082,83,Headphones,Computing,West,Bob Smith,2024-06-08,92.62,1,0.19,75.02,Completed,Cash
ORD-000083,70,Keyboard,Electronics,Central,Eva Brown,2024-04-23,40.03,4,0.15,136.1,Cancelled,Cash
ORD-000084,48,Webcam,Accessories,East,Eva Brown,2024-08-30,143.4,5,0.1,645.3,Cancelled,Credit Card
