session_id,timestamp,page,source,device,country,session_duration,is_bounce,page_views
SESS-000001,2024-03-26 10:11:00,/blog,Twitter,Mobile,UK,746,True,1
SESS-000002,2024-06-04 09:24:00,/about,Google,Mobile,Spain,179,False,1
SESS-000003,2024-01-10 22:20:00,/support,LinkedIn,Mobile,Netherlands,444,False,8
SESS-000004,2024-09-18 00:44:00,/blog,Referral,Mobile,USA,431,False,2
SESS-000005,2024-01-19 13:10:00,/blog,Email,Tablet,Netherlands,301,True,1
SESS-000006,2024-01-18 14:49:00,/products,Email,Mobile,France,342,False,6
SESS-000007,2024-11-02 14:43:00,/blog,Email,Mobile,Spain,214,False,2
SESS-000008,2024-11-12 18:00:00,/support,Email,Tablet,France,367,False,6
SESS-000009,2024-05-08 17:38:00,/blog,Referral,Tablet,Netherlands,561,False,5
SESS-000010,2024-12-27 12:21:00,/features,Direct,Desktop,USA,151,False,8
SESS-000011,2024-11-22 16:04:00,/products,Facebook,Mobile,Netherlands,275,False,9
SESS-000012,2024-07-08 06:23:00,/features,Email,Desktop,Italy,375,False,8
SESS-000013,2024-10-29 23:12:00,/products,Twitter,Desktop,Netherlands,492,False,1
SESS-000014,2024-01-06 23:36:00,/products,Direct,Desktop,Germany,116,False,6
SESS-000015,2024-09-13 21:03:00,/home,Referral,Tablet,Canada,249,False,9
SESS-000016,2024-07-19 05:20:00,/support,Direct,Desktop,Spain,663,False,1
SESS-000017,2024-11-24 15:07:00,/home,Google,Mobile,UK,262,False,6
SESS-000018,2024-08-03 14:14:00,/products,Email,Mobile,Netherlands,318,False,3
SESS-000019,2024-06-03 23:02:00,/features,Referral,Mobile,Spain,274,True,1
SESS-000020,2024-01-09 20:04:00,/pricing,Referral,Desktop,Netherlands,544,False,4
SESS-000021,2024-07-13 06:15:00,/blog,Google,Tablet,USA,326,True,1
SESS-000022,2024-10-12 10:11:00,/home,Twitter,Mobile,Canada,138,False,1
SESS-000023,2024-06-01 13:30:00,/contact,Direct,Mobile,Netherlands,124,False,5
SESS-000024,2024-07-11 01:27:00,/support,Referral,Tablet,USA,514,True,1
SESS-000025,2024-03-06 09:44:00,/blog,Referral,Desktop,USA,327,True,1
SESS-000026,2024-02-16 08:04:00,/features,Facebook,Mobile,Netherlands,125,False,4
SESS-000027,2024-08-04 21:39:00,/contact,Google,Desktop,USA,181,True,1
SESS-000028,2024-10-22 07:35:00,/about,Twitter,Mobile,Netherlands,122,False,3
SESS-000029,2024-05-29 02:08:00,/blog,Facebook,Desktop,UK,153,True,1
SESS-000030,2024-08-15 14:09:00,/products,Direct,Tablet,Netherlands,557,True,1
SESS-000031,2024-03-10 15:42:00,/support,Email,Mobile,Italy,742,False,2
SESS-000032,2024-11-26 00:16:00,/products,Direct,Mobile,France,240,False,9
SESS-000033,2024-07-10 03:05:00,/products,Referral,Desktop,Canada,347,True,1
SESS-000034,2024-09-15 05:20:00,/support,LinkedIn,Tablet,Netherlands,351,False,10
SESS-000035,2024-10-14 00:07:00,/features,Google,Mobile,UK,234,False,8
SESS-000036,2024-06-11 20:04:00,/products,Google,Mobile,Italy,505,False,10
SESS-000037,2024-02-07 12:59:00,/products,Referral,Desktop,Germany,402,False,7
SESS-000038,2024-11-22 11:32:00,/home,Email,Mobile,Netherlands,223,True,1
SESS-000039,2024-07-12 08:53:00,/home,Google,Tablet,USA,31,True,1
SESS-000040,2024-08-04 05:54:00,/products,Google,Desktop,Italy,236,False,3
SESS-000041,2024-07-14 15:06:00,/products,Twitter,Desktop,Canada,428,False,10
SESS-000042,2024-06-22 13:27:00,/products,Email,Mobile,UK,387,False,3
SESS-000043,2024-04-08 20:45:00,/contact,Email,Mobile,UK,161,True,1
SESS-000044,2024-09-26 01:47:00,/pricing,Email,Mobile,Netherlands,527,False,7
SESS-000045,2024-08-11 07:13:00,/blog,Twitter,Desktop,UK,725,True,1
SESS-000046,2024-09-22 23:51:00,/contact,Email,Mobile,Canada,72,False,2
SESS-000047,2024-02-28 08:35:00,/about,Referral,Desktop,UK,115,True,1
SESS-000048,2024-06-20 04:00:00,/features,Direct,Tablet,Canada,361,True,1
SESS-000049,2024-11-15 10:23:00,/support,Twitter,Desktop,France,792,False,9
SESS-000050,2024-04-21 22:40:00,/features,Twitter,Tablet,UK,82,True,1
SESS-000051,2024-06-06 09:19:00,/features,LinkedIn,Tablet,Canada,218,True,1
SESS-000052,2024-04-02 01:12:00,/support,Email,Tablet,Netherlands,1111,False,7
SESS-000053,2024-01-09 09:26:00,/products,Email,Desktop,Spain,427,False,7
SESS-000054,2024-10-25 23:46:00,/products,Email,Desktop,Germany,141,False,5
SESS-000055,2024-09-09 18:51:00,/features,Google,Desktop,Germany,167,False,9
SESS-000056,2024-01-15 04:59:00,/contact,Facebook,Tablet,UK,49,True,1
SESS-000057,2024-11-27 00:27:00,/pricing,Google,Tablet,Canada,550,False,9
SESS-000058,2024-07-05 08:20:00,/support,Facebook,Mobile,France,1064,True,1
SESS-000059,2024-02-04 02:48:00,/pricing,Email,Tablet,Italy,124,False,8
SESS-000060,2024-07-26 11:49:00,/home,Twitter,Desktop,Germany,69,False,9
SESS-000061,2024-12-16 10:43:00,/home,Direct,Desktop,Canada,85,False,7
SESS-000062,2024-09-05 00:40:00,/support,Twitter,Desktop,France,784,True,1
SESS-000063,2024-06-21 03:16:00,/home,Twitter,Desktop,USA,50,False,6
SESS-000064,2024-03-17 20:31:00,/pricing,Facebook,Desktop,Canada,318,False,8
SESS-000065,2024-06-20 04:36:00,/home,LinkedIn,Desktop,Germany,221,False,6
SESS-000066,2024-07-05 09:00:00,/about,Email,Desktop,Spain,57,False,5
SESS-000067,2024-01-05 04:32:00,/blog,Google,Mobile,Italy,188,False,5
SESS-000068,2024-12-10 06:31:00,/home,Twitter,Mobile,Germany,88,True,1
SESS-000069,2024-11-20 12:26:00,/pricing,Email,Tablet,Spain,156,False,4
SESS-000070,2024-05-21 11:22:00,/features,Email,Tablet,Netherlands,168,False,7
SESS-000071,2024-11-09 19:54:00,/support,Email,Desktop,UK,829,False,5
SESS-000072,2024-12-31 08:15:00,/support,Google,Mobile,UK,690,True,1
SESS-000073,2024-10-01 04:07:00,/products,LinkedIn,Tablet,Canada,166,False,4
SESS-000074,2024-04-09 16:52:00,/support,Facebook,Desktop,Spain,631,True,1
SESS-000075,2024-01-04 01:37:00,/contact,Referral,Desktop,Canada,209,False,2
SESS-000076,2024-06-26 15:24:00,/pricing,LinkedIn,Mobile,Italy,275,False,7
SESS-000077,2024-07-07 10:26:00,/blog,LinkedIn,Mobile,Germany,446,False,7
SESS-000078,2024-09-26 09:53:00,/features,Direct,Tablet,Spain,302,False,7
SESS-000079,2024-12-17 12:00:00,/features,LinkedIn,Tablet,Spain,319,False,8
SESS-000080,2024-06-06 04:15:00,/contact,Google,Tablet,Germany,78,True,1
SESS-000081,2024-10-29 05:49:00,/support,Email,Desktop,Canada,529,False,5
SESS-000082,2024-01-13 15:00:00,/features,Twitter,Mobile,UK,79,True,1
SESS-000083,2024-08-30 12:18:00,/pricing,Email,Desktop,Netherlands,185,True,1
SESS-000084,2024-12-10 19:12:00,/home,Referral,Tablet,Netherlands,134,False,10
